




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (5851)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (expected)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (over/under)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (FDR)
process utilizing autophagic mechanism (GO:0061919)	309	156	87.79	+	1.78	1.35E-08	8.79E-07
DNA duplex unwinding (GO:0032508)	105	53	29.83	+	1.78	9.94E-04	2.40E-02
positive regulation of response to DNA damage stimulus (GO:2001022)	109	55	30.97	+	1.78	8.73E-04	2.14E-02
gene expression (GO:0010467)	2117	1068	601.44	+	1.78	1.42E-56	1.60E-53
cellular response to DNA damage stimulus (GO:0006974)	793	400	225.29	+	1.78	2.40E-20	4.16E-18
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	307	173.02	+	1.77	8.88E-16	1.11E-13
cellular macromolecule biosynthetic process (GO:0034645)	1639	826	465.64	+	1.77	1.29E-42	8.48E-40
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	143	72	40.63	+	1.77	1.32E-04	4.16E-03
transport along microtubule (GO:0010970)	157	79	44.60	+	1.77	5.38E-05	1.84E-03
DNA-dependent DNA replication (GO:0006261)	195	98	55.40	+	1.77	7.27E-06	2.92E-04
regulation of protein ubiquitination (GO:0031396)	213	107	60.51	+	1.77	3.45E-06	1.48E-04
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	779	441.20	+	1.77	2.06E-39	1.02E-36
intracellular protein transport (GO:0006886)	781	391	221.88	+	1.76	1.72E-19	2.81E-17
cellular protein catabolic process (GO:0044257)	644	322	182.96	+	1.76	3.54E-16	4.63E-14
positive regulation of cellular protein catabolic process (GO:1903364)	156	78	44.32	+	1.76	7.04E-05	2.36E-03
nucleobase-containing compound metabolic process (GO:0006139)	2705	1350	768.49	+	1.76	1.19E-71	1.87E-68
heterocycle catabolic process (GO:0046700)	417	208	118.47	+	1.76	9.04E-11	7.14E-09
covalent chromatin modification (GO:0016569)	367	183	104.26	+	1.76	1.33E-09	9.67E-08
histone modification (GO:0016570)	363	181	103.13	+	1.76	1.53E-09	1.09E-07
mitotic cell cycle process (GO:1903047)	675	336	191.77	+	1.75	1.18E-16	1.57E-14
mitotic cell cycle (GO:0000278)	750	373	213.07	+	1.75	2.52E-18	3.83E-16
negative regulation of cell cycle process (GO:0010948)	368	183	104.55	+	1.75	1.41E-09	1.02E-07
cellular protein-containing complex assembly (GO:0034622)	867	431	246.31	+	1.75	4.32E-21	7.95E-19
negative regulation of mitotic cell cycle (GO:0045930)	294	146	83.52	+	1.75	8.08E-08	4.58E-06
regulation of chromosome organization (GO:0033044)	290	144	82.39	+	1.75	9.28E-08	5.20E-06
cell cycle G2/M phase transition (GO:0044839)	143	71	40.63	+	1.75	1.83E-04	5.57E-03
cellular nitrogen compound catabolic process (GO:0044270)	423	210	120.17	+	1.75	1.17E-10	9.15E-09
G2/M transition of mitotic cell cycle (GO:0000086)	141	70	40.06	+	1.75	2.25E-04	6.71E-03
protein deubiquitination (GO:0016579)	278	138	78.98	+	1.75	1.84E-07	9.86E-06
macromolecule biosynthetic process (GO:0009059)	1680	833	477.28	+	1.75	5.55E-41	2.92E-38
import into nucleus (GO:0051170)	117	58	33.24	+	1.74	9.23E-04	2.24E-02
protein acylation (GO:0043543)	178	88	50.57	+	1.74	3.93E-05	1.38E-03
mitochondrial transport (GO:0006839)	235	116	66.76	+	1.74	2.02E-06	9.06E-05
protein folding (GO:0006457)	233	115	66.19	+	1.74	2.46E-06	1.07E-04
regulation of DNA repair (GO:0006282)	130	64	36.93	+	1.73	4.77E-04	1.27E-02
protein-DNA complex assembly (GO:0065004)	256	126	72.73	+	1.73	8.17E-07	3.91E-05
protein catabolic process (GO:0030163)	697	343	198.02	+	1.73	2.18E-16	2.87E-14
chromosome organization (GO:0051276)	1064	523	302.28	+	1.73	1.33E-24	3.24E-22
aromatic compound catabolic process (GO:0019439)	438	215	124.43	+	1.73	1.23E-10	9.56E-09
nucleobase-containing compound transport (GO:0015931)	245	120	69.60	+	1.72	2.24E-06	9.91E-05
chromatin organization (GO:0006325)	703	344	199.72	+	1.72	3.75E-16	4.86E-14
protein polyubiquitination (GO:0000209)	325	159	92.33	+	1.72	4.96E-08	2.94E-06
cell cycle phase transition (GO:0044770)	270	132	76.71	+	1.72	5.98E-07	2.95E-05
DNA recombination (GO:0006310)	225	110	63.92	+	1.72	5.81E-06	2.38E-04
mitotic cell cycle phase transition (GO:0044772)	262	128	74.43	+	1.72	1.03E-06	4.84E-05
regulation of cell cycle phase transition (GO:1901987)	522	255	148.30	+	1.72	3.11E-12	2.88E-10
chromatin assembly or disassembly (GO:0006333)	170	83	48.30	+	1.72	9.34E-05	3.07E-03
positive regulation of protein ubiquitination (GO:0031398)	123	60	34.94	+	1.72	8.80E-04	2.15E-02
viral life cycle (GO:0019058)	230	112	65.34	+	1.71	5.33E-06	2.19E-04
heterocycle metabolic process (GO:0046483)	2891	1405	821.33	+	1.71	3.78E-69	5.44E-66
regulation of gene expression, epigenetic (GO:0040029)	173	84	49.15	+	1.71	1.06E-04	3.43E-03
microtubule-based transport (GO:0099111)	192	93	54.55	+	1.70	3.92E-05	1.38E-03
regulation of response to DNA damage stimulus (GO:2001020)	223	108	63.35	+	1.70	9.67E-06	3.77E-04
DNA metabolic process (GO:0006259)	777	376	220.74	+	1.70	4.66E-17	6.64E-15
response to UV (GO:0009411)	151	73	42.90	+	1.70	3.44E-04	9.69E-03
cellular amide metabolic process (GO:0043603)	820	396	232.96	+	1.70	9.60E-18	1.40E-15
regulation of DNA replication (GO:0006275)	108	52	30.68	+	1.69	2.19E-03	4.74E-02
response to endoplasmic reticulum stress (GO:0034976)	260	125	73.87	+	1.69	2.32E-06	1.02E-04
energy derivation by oxidation of organic compounds (GO:0015980)	256	123	72.73	+	1.69	3.46E-06	1.48E-04
negative regulation of cell cycle (GO:0045786)	454	218	128.98	+	1.69	4.14E-10	3.09E-08
cell division (GO:0051301)	498	239	141.48	+	1.69	6.97E-11	5.62E-09
nucleus organization (GO:0006997)	148	71	42.05	+	1.69	4.11E-04	1.13E-02
regulation of mitotic cell cycle (GO:0007346)	588	282	167.05	+	1.69	1.21E-12	1.19E-10
positive regulation of chromatin organization (GO:1905269)	121	58	34.38	+	1.69	1.48E-03	3.38E-02
cellular aromatic compound metabolic process (GO:0006725)	2937	1407	834.40	+	1.69	3.25E-66	4.29E-63
DNA biosynthetic process (GO:0071897)	117	56	33.24	+	1.68	1.71E-03	3.84E-02
intracellular transport (GO:0046907)	1464	700	415.92	+	1.68	1.79E-30	6.72E-28
post-Golgi vesicle-mediated transport (GO:0006892)	136	65	38.64	+	1.68	8.22E-04	2.03E-02
regulation of cell cycle G1/S phase transition (GO:1902806)	178	85	50.57	+	1.68	1.29E-04	4.08E-03
cellular nitrogen compound metabolic process (GO:0034641)	3395	1620	964.51	+	1.68	1.44E-77	2.85E-74
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	212	101	60.23	+	1.68	3.55E-05	1.26E-03
nucleobase-containing compound biosynthetic process (GO:0034654)	975	464	277.00	+	1.68	8.95E-20	1.54E-17
nuclear chromosome segregation (GO:0098813)	227	108	64.49	+	1.67	2.00E-05	7.36E-04
chromosome segregation (GO:0007059)	286	136	81.25	+	1.67	1.46E-06	6.69E-05
heterocycle biosynthetic process (GO:0018130)	1049	498	298.02	+	1.67	4.16E-21	7.73E-19
DNA conformation change (GO:0071103)	312	148	88.64	+	1.67	5.33E-07	2.67E-05
regulation of cell cycle G2/M phase transition (GO:1902749)	222	105	63.07	+	1.66	2.92E-05	1.05E-03
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	161	76	45.74	+	1.66	3.79E-04	1.05E-02
response to hydrogen peroxide (GO:0042542)	121	57	34.38	+	1.66	2.02E-03	4.42E-02
vacuolar transport (GO:0007034)	155	73	44.04	+	1.66	5.35E-04	1.40E-02
protein localization to nucleus (GO:0034504)	168	79	47.73	+	1.66	3.66E-04	1.03E-02
organic cyclic compound catabolic process (GO:1901361)	466	219	132.39	+	1.65	1.93E-09	1.36E-07
vacuole organization (GO:0007033)	145	68	41.19	+	1.65	8.73E-04	2.14E-02
regulation of cellular catabolic process (GO:0031329)	899	420	255.40	+	1.64	5.33E-17	7.52E-15
aromatic compound biosynthetic process (GO:0019438)	1060	494	301.14	+	1.64	1.01E-19	1.71E-17
regulation of protein catabolic process (GO:0042176)	398	185	113.07	+	1.64	5.81E-08	3.39E-06
electron transport chain (GO:0022900)	170	79	48.30	+	1.64	4.01E-04	1.10E-02
positive regulation of protein catabolic process (GO:0045732)	237	110	67.33	+	1.63	3.73E-05	1.31E-03
regulation of protein stability (GO:0031647)	306	142	86.93	+	1.63	2.26E-06	9.98E-05
gene silencing (GO:0016458)	153	71	43.47	+	1.63	8.72E-04	2.14E-02
protein-containing complex subunit organization (GO:0043933)	1605	744	455.98	+	1.63	2.86E-29	1.03E-26
protein transport (GO:0015031)	1300	602	369.33	+	1.63	1.97E-23	4.16E-21
regulation of mitochondrion organization (GO:0010821)	160	74	45.46	+	1.63	8.37E-04	2.06E-02
establishment of protein localization (GO:0045184)	1397	646	396.89	+	1.63	4.27E-25	1.09E-22
organic cyclic compound metabolic process (GO:1901360)	3182	1470	904.00	+	1.63	7.94E-62	9.65E-59
DNA-templated transcription, initiation (GO:0006352)	195	90	55.40	+	1.62	2.34E-04	6.97E-03
protein modification by small protein conjugation or removal (GO:0070647)	1035	477	294.04	+	1.62	2.68E-18	4.04E-16
regulation of cell cycle process (GO:0010564)	792	365	225.01	+	1.62	3.66E-14	3.91E-12
response to topologically incorrect protein (GO:0035966)	191	88	54.26	+	1.62	2.69E-04	7.85E-03
cellular response to topologically incorrect protein (GO:0035967)	152	70	43.18	+	1.62	1.11E-03	2.64E-02
chromatin assembly (GO:0031497)	150	69	42.61	+	1.62	1.35E-03	3.15E-02
cytosolic transport (GO:0016482)	148	68	42.05	+	1.62	1.29E-03	3.02E-02
cytoskeleton-dependent intracellular transport (GO:0030705)	194	89	55.12	+	1.61	2.96E-04	8.48E-03
cell cycle process (GO:0022402)	957	439	271.88	+	1.61	1.14E-16	1.55E-14
protein modification by small protein conjugation (GO:0032446)	822	377	233.53	+	1.61	2.48E-14	2.66E-12
response to unfolded protein (GO:0006986)	168	77	47.73	+	1.61	6.49E-04	1.66E-02
phosphatidylinositol biosynthetic process (GO:0006661)	144	66	40.91	+	1.61	1.91E-03	4.21E-02
regulation of catabolic process (GO:0009894)	1066	487	302.85	+	1.61	4.07E-18	6.07E-16
regulation of autophagy (GO:0010506)	331	151	94.04	+	1.61	2.28E-06	1.00E-04
cellular response to oxygen levels (GO:0071453)	220	100	62.50	+	1.60	1.39E-04	4.36E-03
cell cycle (GO:0007049)	1316	598	373.87	+	1.60	8.30E-22	1.58E-19
protein-containing complex assembly (GO:0065003)	1358	616	385.81	+	1.60	2.59E-22	5.18E-20
regulation of cell cycle (GO:0051726)	1164	528	330.69	+	1.60	3.79E-19	6.11E-17
positive regulation of cellular catabolic process (GO:0031331)	450	204	127.84	+	1.60	6.09E-08	3.54E-06
cellular response to radiation (GO:0071478)	181	82	51.42	+	1.59	7.36E-04	1.85E-02
cellular component disassembly (GO:0022411)	409	185	116.20	+	1.59	2.99E-07	1.55E-05
nuclear division (GO:0000280)	339	153	96.31	+	1.59	3.71E-06	1.55E-04
DNA packaging (GO:0006323)	202	91	57.39	+	1.59	3.79E-04	1.05E-02
cellular response to decreased oxygen levels (GO:0036294)	202	91	57.39	+	1.59	3.79E-04	1.05E-02
organelle fission (GO:0048285)	369	166	104.83	+	1.58	1.51E-06	6.88E-05
protein stabilization (GO:0050821)	198	89	56.25	+	1.58	4.38E-04	1.19E-02
protein import (GO:0017038)	158	71	44.89	+	1.58	1.75E-03	3.90E-02
cellular response to insulin stimulus (GO:0032869)	174	78	49.43	+	1.58	1.02E-03	2.44E-02
Golgi vesicle transport (GO:0048193)	398	178	113.07	+	1.57	7.72E-07	3.72E-05
protein ubiquitination (GO:0016567)	746	333	211.94	+	1.57	1.01E-11	9.00E-10
regulation of DNA metabolic process (GO:0051052)	372	166	105.68	+	1.57	2.12E-06	9.44E-05
cellular response to hypoxia (GO:0071456)	193	86	54.83	+	1.57	8.07E-04	2.01E-02
regulation of chromatin organization (GO:1902275)	211	94	59.94	+	1.57	3.85E-04	1.06E-02
cellular macromolecule localization (GO:0070727)	1480	659	420.47	+	1.57	2.03E-22	4.11E-20
organonitrogen compound biosynthetic process (GO:1901566)	1379	614	391.77	+	1.57	8.10E-21	1.45E-18
positive regulation of catabolic process (GO:0009896)	519	231	147.45	+	1.57	2.16E-08	1.35E-06
response to insulin (GO:0032868)	241	107	68.47	+	1.56	1.98E-04	6.00E-03
cellular protein localization (GO:0034613)	1470	652	417.62	+	1.56	9.15E-22	1.72E-19
organelle assembly (GO:0070925)	796	353	226.14	+	1.56	5.28E-12	4.80E-10
cellular response to stress (GO:0033554)	1741	771	494.61	+	1.56	8.28E-26	2.22E-23
protein localization to membrane (GO:0072657)	542	240	153.98	+	1.56	1.89E-08	1.20E-06
cellular biosynthetic process (GO:0044249)	2715	1198	771.33	+	1.55	3.97E-41	2.16E-38
localization within membrane (GO:0051668)	615	271	174.72	+	1.55	2.67E-09	1.84E-07
organic cyclic compound biosynthetic process (GO:1901362)	1196	527	339.78	+	1.55	3.19E-17	4.59E-15
response to starvation (GO:0042594)	232	102	65.91	+	1.55	3.25E-04	9.20E-03
organic substance biosynthetic process (GO:1901576)	2803	1229	796.33	+	1.54	2.95E-41	1.73E-38
peptidyl-amino acid modification (GO:0018193)	886	388	251.71	+	1.54	1.40E-12	1.35E-10
vesicle organization (GO:0016050)	313	137	88.92	+	1.54	3.50E-05	1.25E-03
cellular macromolecule metabolic process (GO:0044260)	4909	2140	1394.64	+	1.53	1.53E-80	3.45E-77
negative regulation of cellular catabolic process (GO:0031330)	257	112	73.01	+	1.53	2.35E-04	6.97E-03
positive regulation of DNA metabolic process (GO:0051054)	202	88	57.39	+	1.53	1.03E-03	2.48E-02
biosynthetic process (GO:0009058)	2865	1248	813.94	+	1.53	5.84E-41	2.98E-38
cellular catabolic process (GO:0044248)	1812	784	514.79	+	1.52	5.69E-24	1.30E-21
cellular component biogenesis (GO:0044085)	2754	1189	782.41	+	1.52	2.19E-37	1.05E-34
cellular response to starvation (GO:0009267)	190	82	53.98	+	1.52	1.98E-03	4.35E-02
nitrogen compound transport (GO:0071705)	1708	737	485.24	+	1.52	2.95E-22	5.82E-20
protein localization (GO:0008104)	2063	888	586.09	+	1.52	1.03E-26	3.01E-24
response to reactive oxygen species (GO:0000302)	186	80	52.84	+	1.51	2.29E-03	4.93E-02
positive regulation of intracellular transport (GO:0032388)	228	98	64.77	+	1.51	7.65E-04	1.91E-02
cellular protein metabolic process (GO:0044267)	3590	1542	1019.91	+	1.51	1.10E-49	1.02E-46
organelle organization (GO:0006996)	3567	1528	1013.38	+	1.51	1.33E-48	1.17E-45
regulation of cellular response to stress (GO:0080135)	692	296	196.60	+	1.51	5.22E-09	3.51E-07
positive regulation of cell cycle (GO:0045787)	310	132	88.07	+	1.50	1.31E-04	4.14E-03
positive regulation of cell cycle process (GO:0090068)	228	96	64.77	+	1.48	1.51E-03	3.44E-02
negative regulation of catabolic process (GO:0009895)	317	133	90.06	+	1.48	2.35E-04	6.97E-03
regulation of intracellular transport (GO:0032386)	364	152	103.41	+	1.47	8.83E-05	2.93E-03
macromolecule metabolic process (GO:0043170)	6151	2563	1747.49	+	1.47	2.00E-86	6.31E-83
glycerophospholipid biosynthetic process (GO:0046474)	252	105	71.59	+	1.47	1.28E-03	3.01E-02
organic substance catabolic process (GO:1901575)	1769	736	502.57	+	1.46	5.22E-19	8.34E-17
post-translational protein modification (GO:0043687)	361	150	102.56	+	1.46	1.27E-04	4.03E-03
phospholipid biosynthetic process (GO:0008654)	289	120	82.10	+	1.46	6.02E-04	1.55E-02
generation of precursor metabolites and energy (GO:0006091)	403	167	114.49	+	1.46	5.33E-05	1.83E-03
positive regulation of organelle organization (GO:0010638)	605	249	171.88	+	1.45	1.09E-06	5.11E-05
organelle localization (GO:0051640)	609	250	173.02	+	1.44	1.18E-06	5.43E-05
macromolecule localization (GO:0033036)	2496	1024	709.11	+	1.44	2.77E-25	7.17E-23
nitrogen compound metabolic process (GO:0006807)	6886	2823	1956.30	+	1.44	2.39E-93	1.89E-89
establishment of organelle localization (GO:0051656)	398	163	113.07	+	1.44	1.11E-04	3.57E-03
microtubule cytoskeleton organization (GO:0000226)	567	232	161.08	+	1.44	3.47E-06	1.47E-04
catabolic process (GO:0009056)	2096	857	595.47	+	1.44	1.21E-20	2.15E-18
organonitrogen compound catabolic process (GO:1901565)	1091	446	309.95	+	1.44	7.62E-11	6.09E-09
cellular component assembly (GO:0022607)	2494	1019	708.54	+	1.44	1.01E-24	2.49E-22
cellular metabolic process (GO:0044237)	7542	3081	2142.67	+	1.44	2.41E-106	3.81E-102
glycerolipid biosynthetic process (GO:0045017)	272	111	77.27	+	1.44	1.53E-03	3.49E-02
establishment of localization in cell (GO:0051649)	2335	952	663.37	+	1.44	9.51E-23	1.98E-20
organophosphate biosynthetic process (GO:0090407)	552	225	156.82	+	1.43	5.97E-06	2.44E-04
macromolecule modification (GO:0043412)	3211	1307	912.24	+	1.43	3.79E-32	1.50E-29
apoptotic signaling pathway (GO:0097190)	281	114	79.83	+	1.43	1.79E-03	3.98E-02
negative regulation of gene expression (GO:0010629)	999	405	283.81	+	1.43	1.36E-09	9.88E-08
regulation of apoptotic signaling pathway (GO:2001233)	354	143	100.57	+	1.42	4.67E-04	1.25E-02
endomembrane system organization (GO:0010256)	530	214	150.57	+	1.42	1.65E-05	6.19E-04
primary metabolic process (GO:0044238)	7352	2959	2088.69	+	1.42	1.59E-92	8.39E-89
positive regulation of proteolysis (GO:0045862)	376	151	106.82	+	1.41	3.76E-04	1.05E-02
cellular protein modification process (GO:0006464)	2985	1192	848.03	+	1.41	2.68E-26	7.71E-24
protein modification process (GO:0036211)	2985	1192	848.03	+	1.41	2.68E-26	7.57E-24
cellular localization (GO:0051641)	2985	1191	848.03	+	1.40	3.34E-26	9.27E-24
microtubule-based process (GO:0007017)	806	321	228.98	+	1.40	3.24E-07	1.67E-05
response to oxygen levels (GO:0070482)	388	154	110.23	+	1.40	5.44E-04	1.42E-02
protein metabolic process (GO:0019538)	4203	1662	1194.06	+	1.39	4.17E-37	1.94E-34
in utero embryonic development (GO:0001701)	366	144	103.98	+	1.38	1.20E-03	2.83E-02
regulation of organelle organization (GO:0033043)	1208	474	343.19	+	1.38	1.72E-09	1.22E-07
response to decreased oxygen levels (GO:0036293)	361	141	102.56	+	1.37	1.61E-03	3.63E-02
organic substance metabolic process (GO:0071704)	7840	3060	2227.33	+	1.37	9.30E-84	2.45E-80
organic substance transport (GO:0071702)	2079	809	590.64	+	1.37	3.34E-15	3.89E-13
response to hypoxia (GO:0001666)	347	135	98.58	+	1.37	2.28E-03	4.90E-02
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	603	440.64	+	1.37	2.47E-11	2.10E-09
metabolic process (GO:0008152)	8313	3228	2361.71	+	1.37	1.28E-89	5.04E-86
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	597	437.51	+	1.36	4.43E-11	3.66E-09
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	590	434.10	+	1.36	1.09E-10	8.61E-09
proteolysis (GO:0006508)	1306	504	371.03	+	1.36	3.46E-09	2.37E-07
negative regulation of biosynthetic process (GO:0009890)	1643	632	466.77	+	1.35	3.66E-11	3.08E-09
negative regulation of cellular biosynthetic process (GO:0031327)	1610	619	457.40	+	1.35	5.96E-11	4.86E-09
cilium assembly (GO:0060271)	385	148	109.38	+	1.35	2.19E-03	4.74E-02
carbohydrate derivative biosynthetic process (GO:1901137)	604	232	171.60	+	1.35	1.13E-04	3.65E-03
cilium organization (GO:0044782)	408	156	115.91	+	1.35	1.74E-03	3.89E-02
positive regulation of apoptotic process (GO:0043065)	560	213	159.09	+	1.34	3.06E-04	8.73E-03
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	736	551.43	+	1.33	5.64E-12	5.10E-10
organonitrogen compound metabolic process (GO:1901564)	5246	1988	1490.38	+	1.33	8.49E-37	3.84E-34
negative regulation of RNA metabolic process (GO:0051253)	1408	533	400.01	+	1.33	9.10E-09	6.02E-07
cellular component organization or biogenesis (GO:0071840)	6006	2270	1706.29	+	1.33	1.63E-43	1.17E-40
regulation of cellular protein localization (GO:1903827)	561	212	159.38	+	1.33	4.28E-04	1.16E-02
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	703	529.27	+	1.33	3.66E-11	3.09E-09
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	1487	1127.30	+	1.32	7.69E-24	1.69E-21
positive regulation of RNA metabolic process (GO:0051254)	1773	664	503.71	+	1.32	3.91E-10	2.93E-08
regulation of macromolecule biosynthetic process (GO:0010556)	3999	1497	1136.11	+	1.32	7.06E-24	1.57E-21
positive regulation of programmed cell death (GO:0043068)	575	215	163.36	+	1.32	6.75E-04	1.71E-02
positive regulation of cellular biosynthetic process (GO:0031328)	1969	735	559.39	+	1.31	6.24E-11	5.06E-09
regulation of cellular biosynthetic process (GO:0031326)	4163	1549	1182.70	+	1.31	5.77E-24	1.30E-21
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	1159	887.24	+	1.31	7.57E-17	1.06E-14
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	1502	1150.31	+	1.31	1.33E-22	2.72E-20
regulation of biosynthetic process (GO:0009889)	4226	1566	1200.60	+	1.30	1.37E-23	2.97E-21
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	481	369.04	+	1.30	4.82E-07	2.42E-05
positive regulation of biosynthetic process (GO:0009891)	2004	742	569.33	+	1.30	1.61E-10	1.24E-08
regulation of cellular protein metabolic process (GO:0032268)	2501	926	710.53	+	1.30	4.32E-13	4.38E-11
positive regulation of cell death (GO:0010942)	638	236	181.25	+	1.30	5.73E-04	1.49E-02
negative regulation of RNA biosynthetic process (GO:1902679)	1301	481	369.61	+	1.30	5.70E-07	2.83E-05
positive regulation of cellular metabolic process (GO:0031325)	3314	1225	941.50	+	1.30	1.63E-17	2.36E-15
negative regulation of transcription, DNA-templated (GO:0045892)	1297	479	368.48	+	1.30	6.40E-07	3.14E-05
positive regulation of protein metabolic process (GO:0051247)	1562	576	443.76	+	1.30	4.51E-08	2.69E-06
negative regulation of cellular metabolic process (GO:0031324)	2613	963	742.35	+	1.30	3.13E-13	3.23E-11
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	904	696.89	+	1.30	1.92E-12	1.81E-10
positive regulation of cellular component organization (GO:0051130)	1161	427	329.84	+	1.29	3.84E-06	1.61E-04
regulation of protein metabolic process (GO:0051246)	2665	979	757.12	+	1.29	3.49E-13	3.56E-11
cellular component organization (GO:0016043)	5783	2123	1642.94	+	1.29	6.96E-33	2.97E-30
negative regulation of transcription by RNA polymerase II (GO:0000122)	906	332	257.39	+	1.29	6.32E-05	2.13E-03
positive regulation of cellular protein metabolic process (GO:0032270)	1474	540	418.76	+	1.29	2.32E-07	1.21E-05
regulation of RNA metabolic process (GO:0051252)	3782	1384	1074.46	+	1.29	8.78E-19	1.39E-16
apoptotic process (GO:0006915)	913	334	259.38	+	1.29	6.69E-05	2.25E-03
negative regulation of macromolecule metabolic process (GO:0010605)	2880	1053	818.20	+	1.29	8.45E-14	8.91E-12
negative regulation of protein modification process (GO:0031400)	558	204	158.53	+	1.29	2.22E-03	4.79E-02
negative regulation of metabolic process (GO:0009892)	3095	1130	879.28	+	1.29	8.97E-15	9.99E-13
regulation of cellular localization (GO:0060341)	841	306	238.93	+	1.28	2.04E-04	6.17E-03
regulation of cellular metabolic process (GO:0031323)	6138	2224	1743.79	+	1.28	5.28E-32	2.03E-29
regulation of nitrogen compound metabolic process (GO:0051171)	5740	2066	1630.72	+	1.27	1.45E-27	4.51E-25
regulation of primary metabolic process (GO:0080090)	5925	2130	1683.28	+	1.27	1.72E-28	5.79E-26
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	584	462.51	+	1.26	7.22E-07	3.51E-05
positive regulation of transcription, DNA-templated (GO:0045893)	1628	584	462.51	+	1.26	7.22E-07	3.50E-05
positive regulation of macromolecule metabolic process (GO:0010604)	3522	1263	1000.59	+	1.26	1.12E-14	1.24E-12
positive regulation of RNA biosynthetic process (GO:1902680)	1629	584	462.80	+	1.26	7.28E-07	3.52E-05
negative regulation of cellular protein metabolic process (GO:0032269)	1040	371	295.46	+	1.26	1.48E-04	4.62E-03
positive regulation of metabolic process (GO:0009893)	3820	1359	1085.25	+	1.25	4.89E-15	5.57E-13
organophosphate metabolic process (GO:0019637)	894	317	253.98	+	1.25	6.61E-04	1.68E-02
regulation of gene expression (GO:0010468)	4922	1744	1398.33	+	1.25	1.21E-19	2.02E-17
regulation of transferase activity (GO:0051338)	1033	366	293.47	+	1.25	2.37E-04	7.01E-03
membrane organization (GO:0061024)	972	344	276.14	+	1.25	3.93E-04	1.08E-02
phosphorus metabolic process (GO:0006793)	1835	648	521.32	+	1.24	8.21E-07	3.92E-05
regulation of nucleic acid-templated transcription (GO:1903506)	3475	1227	987.24	+	1.24	1.10E-12	1.09E-10
regulation of transcription, DNA-templated (GO:0006355)	3474	1226	986.96	+	1.24	1.26E-12	1.23E-10
regulation of RNA biosynthetic process (GO:2001141)	3480	1227	988.66	+	1.24	1.49E-12	1.43E-10
negative regulation of protein metabolic process (GO:0051248)	1112	392	315.92	+	1.24	2.04E-04	6.16E-03
regulation of macromolecule metabolic process (GO:0060255)	6340	2234	1801.18	+	1.24	4.96E-26	1.35E-23
phosphorylation (GO:0016310)	877	309	249.15	+	1.24	1.11E-03	2.65E-02
regulation of metabolic process (GO:0019222)	6874	2414	1952.89	+	1.24	2.28E-28	7.49E-26
phosphate-containing compound metabolic process (GO:0006796)	1808	634	513.65	+	1.23	2.45E-06	1.07E-04
regulation of protein modification process (GO:0031399)	1654	579	469.90	+	1.23	8.49E-06	3.37E-04
cytoskeleton organization (GO:0007010)	1212	424	344.33	+	1.23	1.74E-04	5.35E-03
carbohydrate derivative metabolic process (GO:1901135)	1008	351	286.37	+	1.23	8.89E-04	2.16E-02
regulation of cellular component organization (GO:0051128)	2390	832	678.99	+	1.23	1.14E-07	6.27E-06
regulation of transcription by RNA polymerase II (GO:0006357)	2595	896	737.23	+	1.22	1.03E-07	5.74E-06
regulation of programmed cell death (GO:0043067)	1532	526	435.24	+	1.21	1.20E-04	3.85E-03
positive regulation of protein modification process (GO:0031401)	1079	370	306.54	+	1.21	1.58E-03	3.58E-02
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	415	344.33	+	1.21	8.63E-04	2.12E-02
regulation of apoptotic process (GO:0042981)	1493	509	424.16	+	1.20	2.70E-04	7.86E-03
regulation of cell death (GO:0010941)	1668	568	473.88	+	1.20	1.25E-04	3.98E-03
establishment of localization (GO:0051234)	4631	1526	1315.66	+	1.16	1.34E-08	8.76E-07
